year,study,dataset_type,district,site,n_omission,soil_background,latitude,longitude,response_t_ha
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.245170542635659,6.889589147286821,28.033888580000003,82.37338285833333,1.355581395348838
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,3.566046511627907,8.002325581395349,28.0214735425,82.3246647175,-4.4362790697674415
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.334282945736434,5.20610465116279,28.090448776666666,82.42108206333333,0.12817829457364383
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,6.363593023255814,4.633511627906977,27.977827443333332,82.46365233666667,1.7300813953488374
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,7.585732558139535,5.908761627906976,28.1161729075,82.166335365,1.6769709302325584
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,4.261496124031008,5.934627906976744,28.170453620000004,82.26027281999998,-1.6731317829457364
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,8.07782945736434,6.483104651162791,28.187574058333333,82.09802281,1.5947248062015484
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,6.575282945736434,5.986391472868218,28.165573853333335,82.22549202833333,0.588891472868216
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,5.561558139534884,5.692945736434108,29.082115948333332,80.59343874666666,-0.1313875968992244
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,7.97891472868217,6.148062015503876,29.144260101666667,80.60340461666667,1.8308527131782943
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,5.003658914728682,4.346476744186046,27.660351469166667,85.58859310083332,0.6571821705426357
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,7.969186046511628,6.609883720930232,27.558005653333332,85.66621676833333,1.359302325581396
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,8.982558139534882,6.62984496124031,27.647592539999998,85.56456278166667,2.3527131782945725
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,8.997201550387596,7.254147286821706,28.804873569999998,81.39947721,1.7430542635658899
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,7.23532558139535,5.777647286821705,28.639586246666667,81.59303495500001,1.457678294573645
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,7.3305,5.73593023255814,28.833551575,81.30625107,1.5945697674418602
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,7.7328565891472865,7.159341085271318,28.50486518333333,81.73679539,0.5735155038759681
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.095593023255814,6.537705426356589,28.71292778,81.51044930333333,1.5578875968992252
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.376213178294574,7.03681007751938,28.464976398333334,81.79503254166667,1.3394031007751934
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,7.342633720930232,6.540453488372092,28.4430835225,81.7964786775,0.8021802325581397
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,6.901953488372093,5.977441860465117,28.4239202375,81.79688430750001,0.924511627906976
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-7,6.669767441860466,,28.44627709,81.81803668,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-8,8.837209302325583,6.369302325581396,28.439116159999998,81.810719465,2.467906976744187
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-9,,7.7138372093023255,28.43196607,81.80337762,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,8.122302325581396,6.894341085271318,28.48846730833333,81.74245886666667,1.2279612403100781
