year,study,dataset_type,district,site,government_recommendation,n_timing_v6_v10,latitude,longitude,response_t_ha
2019,2019 T1-T10 core trial,Trial,Dang,Dhikpur,8.777121511627907,8.877800581395348,28.04024426965043,82.37349175382406,0.10067906976744112
2019,2019 T1-T10 core trial,Trial,Dang,Laxmipur,11.619877325581394,10.564767441860464,27.978459522128105,82.46626322390512,-1.0551098837209292
2019,2019 T1-T10 core trial,Trial,Dang,Panchakule,9.917432558139534,10.202556976744185,28.13426857232116,82.12075090734288,0.2851244186046511
2019,2019 T1-T10 core trial,Trial,Dang,Shantinagar,8.61302034883721,9.205565116279068,28.16581800347194,82.22756026312709,0.5925447674418578
2019,2019 T1-T10 core trial,Trial,Dang,Shreegau,8.656330813953488,7.316173837209302,28.109641168266535,82.18607858056203,-1.3401569767441863
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,9.414713546511628,8.616932040697675,29.08080881810747,80.59054112993181,-0.797781505813953
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,8.507053310077518,9.276983201550387,29.254716394934803,80.93256973195821,0.7699298914728683
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,9.174986976744185,10.174011355813954,29.12464839918539,80.58125897683203,0.9990243790697697
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,8.723448191860466,8.693874383720928,27.556994904298335,85.66746583208442,-0.02957380813953847
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,7.813370494186046,8.408525540697672,27.650268094148487,85.57618585880846,0.5951550465116267
2019,2019 T1-T10 core trial,Trial,Makwanpur,Radha Tiwari,6.698701836046512,7.267162790697674,,,0.5684609546511625
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,6.801547209302324,8.504647953488371,27.884847556706518,85.15005472116172,1.703100744186047
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,8.012322523255815,6.8808139534883725,27.88433326408267,85.15046568587422,-1.1315085697674423
2019,2019 T1-T10 core trial,Trial,Palpa,Chidi pani,7.849728665302326,8.03001552069186,27.866848729318008,83.54839473031461,0.18028685538953404
2019,2019 T1-T10 core trial,Trial,Palpa,Devinagar,8.501498065104652,8.959788758127907,27.809401291888207,83.69687911821529,0.45829069302325465
2019,2019 T1-T10 core trial,Trial,Palpa,Khasyauli,7.471317812616279,5.878178135831395,27.884674805682153,83.47844431176782,-1.593139676784884
2019,2019 T1-T10 core trial,Trial,Salyan,Jhuplal gharti,10.973156976744189,9.776043023255813,28.2178951241076,82.38476436585188,-1.1971139534883761
2019,2019 T1-T10 core trial,Trial,Salyan,Sharadha sharma,,16.053488372093025,28.229165871161968,82.35281544271857,
2019,2019 T1-T10 core trial,Trial,Surkhet,Babiyachaur,12.879354279069767,13.182175552325582,28.8051436340902,81.39993504155427,0.3028212732558142
2019,2019 T1-T10 core trial,Trial,Surkhet,Kalyan,9.480886627906976,8.707461627906977,28.501457737293094,81.74199422355741,-0.7734249999999996
2019,2019 T1-T10 core trial,Trial,Surkhet,Kunathari,8.941865697674418,9.364738372093024,28.71432826970704,81.50843016570434,0.4228726744186062
2019,2019 T1-T10 core trial,Trial,Surkhet,Lekhpharsa,11.779534883720931,10.911485465116279,28.464981245342642,81.79029603023082,-0.8680494186046523
2019,2019 T1-T10 core trial,Trial,Surkhet,Maintada-2,7.337687209302326,8.59933430232558,28.447857771534473,81.79642353672534,1.261647093023254
2019,2019 T1-T10 core trial,Trial,Surkhet,Ramghat,11.571568139534884,9.457562325581396,28.489935365505517,81.74422758165747,-2.1140058139534883
