year,study,dataset_type,district,site,treatment_yield_t_ha,N_rate_kg_ha,latitude,longitude,y_0PK_t_ha,treatment_role,yield_response_vs_0PK_t_ha,AE_N_vs_0PK_kg_kg,relative_yield_vs_0PK_pct,group
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.309213178294572,120.0,28.033859723333332,82.37339596333332,8.245170542635659,government_recommendation,0.06404263565891277,0.5336886304909397,100.77672906009342,GR
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,6.752627906976744,120.0,28.021549020000002,82.324681375,3.566046511627907,government_recommendation,3.1865813953488367,26.554844961240306,189.35894091561235,GR
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.666720930232557,120.0,28.090455763333335,82.42110961,5.334282945736434,government_recommendation,0.3324379844961234,2.7703165374676946,106.23210256894664,GR
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,7.132759689922481,120.0,27.977790003333336,82.46364707333333,6.363593023255814,government_recommendation,0.769166666666667,6.409722222222225,112.08698708191645,GR
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,8.273944767441861,120.0,28.1161511325,82.16631265,7.585732558139535,government_recommendation,0.6882122093023266,5.735101744186055,109.07245548175662,GR
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,5.785248062015505,120.0,28.170474799999997,82.26025320333333,4.261496124031008,government_recommendation,1.523751937984497,12.697932816537476,135.75626713331746,GR
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.4239961240310075,120.0,28.18761530333333,82.09808285666666,8.07782945736434,government_recommendation,-0.6538333333333322,-5.448611111111101,91.90582895090401,GR
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,7.427116279069768,120.0,28.165591893333332,82.22554941666668,6.575282945736434,government_recommendation,0.8518333333333343,7.098611111111119,112.95508254721848,GR
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,6.628709302325581,120.0,29.082113109999998,80.59339418666667,5.561558139534884,government_recommendation,1.0671511627906973,8.892926356589145,119.18798897749082,GR
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,8.323627906976744,120.0,29.14420459666667,80.60346934333333,7.97891472868217,government_recommendation,0.34471317829457426,2.872609819121452,104.32030157002954,GR
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,6.6202093023255815,120.0,27.660642553333332,85.58985851666667,5.003658914728682,government_recommendation,1.6165503875968996,13.471253229974163,132.30736577264392,GR
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,8.142248062015504,120.0,27.55798009,85.66630554666666,7.969186046511628,government_recommendation,0.17306201550387623,1.442183462532302,102.17163979475208,GR
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,9.312015503875969,120.0,27.647586223333334,85.56451260333334,8.982558139534882,government_recommendation,0.32945736434108674,2.745478036175723,103.66774541531824,GR
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,9.468372093023257,120.0,28.804848823333334,81.39958067333333,8.997201550387596,government_recommendation,0.4711705426356616,3.9264211886305134,105.23685659365232,GR
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,8.934263565891474,120.0,28.6396009,81.59302820333333,7.23532558139535,government_recommendation,1.6989379844961237,14.157816537467697,123.48115458500874,GR
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,7.927639534883721,120.0,28.83349251,81.30619469,7.3305,government_recommendation,0.5971395348837216,4.97616279069768,108.14595914171915,GR
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.879523255813952,120.0,28.50494627666667,81.73688858333334,7.7328565891472865,government_recommendation,1.1466666666666656,9.555555555555546,114.82850035362043,GR
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.978236434108528,120.0,28.713022403333337,81.51053496333333,8.095593023255814,government_recommendation,0.8826434108527135,7.355361757105945,110.90276411273624,GR
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.474728682170543,120.0,28.46499699,81.79510354333333,8.376213178294574,government_recommendation,0.0985155038759693,0.8209625322997441,101.1761341524981,GR
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,8.949492248062016,120.0,28.44418109,81.80358763,7.342633720930232,government_recommendation,1.6068585271317843,13.390487726098202,121.88395319994544,GR
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,8.762003875968992,120.0,28.42658842,81.79910268666667,6.901953488372093,government_recommendation,1.8600503875968988,15.500419896640825,126.94962217190505,GR
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,8.903693798449613,120.0,28.488442363333334,81.74251475,8.122302325581396,government_recommendation,0.7813914728682168,6.511595607235139,109.62031997266594,GR
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.0873992248062,78.0,28.033864403333336,82.37335910666667,8.245170542635659,udp_reduced_n,-0.15777131782945908,-2.022709202941783,98.08650024867738,UDP
